Registry,Case,M,K,N,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
0,gemm_M512_N8192_K8192,512,8192,8192,1.106,62.139,62.195,136.537,136.660
0,gemm_M1024_N8192_K8192,1024,8192,8192,2.314,59.386,59.415,72.493,72.528
0,gemm_M2048_N8192_K8192,2048,8192,8192,4.415,62.263,62.270,45.602,45.608
0,gemm_M4096_N8192_K8192,4096,8192,8192,8.628,63.716,63.783,31.111,31.144
0,gemm_M8192_N8192_K8192,8192,8192,8192,17.651,62.291,62.300,22.812,22.815
1,gemm_M8192_N512_K8192,8192,8192,512,1.106,62.159,62.246,136.580,136.771
1,gemm_M8192_N1024_K8192,8192,8192,1024,2.314,59.386,59.415,72.493,72.528
1,gemm_M8192_N2048_K8192,8192,8192,2048,4.416,62.251,62.256,45.594,45.598
1,gemm_M8192_N4096_K8192,8192,8192,4096,8.659,63.489,63.505,31.000,31.008
1,gemm_M8192_N8192_K8192,8192,8192,8192,17.652,62.289,62.300,22.811,22.815
2,gemm_M8192_N8192_K512,8192,512,8192,1.116,61.588,61.681,135.325,135.529
2,gemm_M8192_N8192_K1024,8192,1024,8192,2.184,62.935,62.956,76.825,76.850
2,gemm_M8192_N8192_K2048,8192,2048,8192,4.322,63.602,63.611,46.584,46.590
2,gemm_M8192_N8192_K4096,8192,4096,8192,8.671,63.399,63.415,30.957,30.964
2,gemm_M8192_N8192_K8192,8192,8192,8192,17.651,62.290,62.296,22.811,22.814
3,gemm_M1024_N1024_K1024,1024,1024,1024,0.046,46.740,47.730,136.933,139.835
3,gemm_M2048_N2048_K2048,2048,2048,2048,0.300,57.322,57.456,83.968,84.164
3,gemm_M4096_N4096_K4096,4096,4096,4096,2.167,63.428,63.459,46.456,46.479
3,gemm_M8192_N8192_K8192,8192,8192,8192,17.650,62.294,62.303,22.813,22.816
3,gemm_M16384_N16384_K16384,16384,16384,16384,130.334,67.489,68.436,12.358,12.531
4,gemm_M32768_N32768_K512,32768,512,32768,17.718,62.056,62.063,124.991,125.004
4,gemm_M32768_N32768_K1024,32768,1024,32768,34.615,63.529,66.571,65.917,69.074
4,gemm_M32768_N32768_K2048,32768,2048,32768,65.680,66.962,68.925,36.783,37.861
4,gemm_M32768_N32768_K4096,32768,4096,32768,129.732,67.802,68.676,20.692,20.958
