Registry,Case,M,K,N,R,C,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
13,parametric_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,32,2,0.173,0.194,0.195,1553.044,1560.411
13,parametric_M8192_N8192_K8192_R32_C32_dppm100,8192,8192,8192,32,32,7,0.200,0.588,0.591,1344.772,1351.335
13,parametric_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,32,20,0.254,1.324,1.327,1058.986,1061.612
13,parametric_M8192_N8192_K8192_R32_C32_dppm1000,8192,8192,8192,32,32,66,0.414,2.674,2.684,648.549,651.064
13,parametric_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,32,197,0.760,4.346,4.362,353.544,354.784
13,parametric_M8192_N8192_K8192_R32_C32_dppm10000,8192,8192,8192,32,32,655,1.971,5.575,5.586,136.857,137.146
14,parametric_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,64,1,0.184,0.365,0.368,1458.657,1472.250
14,parametric_M8192_N8192_K8192_R64_C64_dppm200,8192,8192,8192,64,64,3,0.224,0.897,0.902,1196.177,1202.608
14,parametric_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,64,10,0.325,2.064,2.087,825.774,835.110
14,parametric_M8192_N8192_K8192_R64_C64_dppm2000,8192,8192,8192,64,64,33,0.675,3.279,3.306,397.839,401.121
14,parametric_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,64,98,1.357,4.847,4.880,198.421,199.794
14,parametric_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,64,164,2.246,4.900,4.935,120.123,120.963
