Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
13,parametric_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.243,0.138,0.138,1102.620,1106.110
13,parametric_M8192_N8192_K8192_R32_C32_dppm100,8192,8192,8192,32,7,0.243,0.483,0.484,1103.315,1106.152
13,parametric_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,0.247,1.357,1.361,1086.000,1088.748
13,parametric_M8192_N8192_K8192_R32_C32_dppm1000,8192,8192,8192,32,66,0.293,3.781,3.794,917.150,920.268
13,parametric_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,0.398,8.307,8.323,675.716,676.974
13,parametric_M8192_N8192_K8192_R32_C32_dppm10000,8192,8192,8192,32,655,0.573,19.178,19.198,470.813,471.300
14,parametric_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,396.958,397.238
14,parametric_M8192_N8192_K8192_R64_C64_dppm200,8192,8192,8192,64,3,0.676,0.298,0.298,396.880,397.224
14,parametric_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,0.677,0.991,0.993,396.678,397.309
14,parametric_M8192_N8192_K8192_R64_C64_dppm2000,8192,8192,8192,64,33,0.982,2.255,2.257,273.616,273.805
14,parametric_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,1.522,4.322,4.325,176.916,177.049
14,parametric_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,1.526,7.211,7.214,176.751,176.820
