Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
17,parametric_row_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.278,0.121,0.121,964.034,967.336
17,parametric_col_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.242,0.139,0.139,1109.548,1112.122
17,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.242,0.139,0.139,1109.592,1115.523
17,parametric_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.243,0.138,0.139,1106.474,1110.797
19,parametric_row_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,1.464,0.229,0.229,183.434,183.602
19,parametric_col_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,0.242,1.388,1.390,1110.876,1112.570
19,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,0.246,1.365,1.369,1091.979,1095.572
19,parametric_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,0.246,1.362,1.365,1089.384,1092.434
21,parametric_row_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,13.682,0.242,0.242,19.648,19.676
21,parametric_col_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,0.242,13.647,13.676,1110.086,1112.452
21,parametric_multi_diag_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,0.295,11.194,11.212,910.486,911.989
21,parametric_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,0.399,8.280,8.297,673.462,674.907
23,parametric_row_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,396.978,397.238
23,parametric_col_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,397.072,397.200
23,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,397.191,397.256
23,parametric_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,397.183,397.577
25,parametric_row_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,3.113,0.216,0.216,86.245,86.275
25,parametric_col_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,0.679,0.988,0.993,395.437,397.309
25,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,0.679,0.988,0.989,395.284,395.567
25,parametric_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,0.975,0.689,0.689,275.493,275.735
27,parametric_row_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,26.401,0.249,0.259,10.198,10.608
27,parametric_col_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,0.676,9.726,9.731,398.156,398.376
27,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,0.694,9.471,9.501,387.709,388.947
27,parametric_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,1.524,4.316,4.319,176.704,176.799
28,parametric_row_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,34.551,0.319,0.333,7.808,8.170
28,parametric_col_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,0.972,11.319,11.326,277.465,277.615
28,parametric_multi_diag_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,1.020,10.792,10.802,264.550,264.781
28,parametric_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,1.526,7.213,7.218,176.807,176.935
