Registry,Case,M,K,N,R,C,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
8,parametric_row_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,256,44.341,6.199,6.429,6.811,7.063
8,parametric_col_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,256,40.039,6.865,7.093,7.542,7.792
8,parametric_diag_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,32,5.275,6.513,6.524,51.679,51.768
8,parametric_multi_diag_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,256,40.918,6.718,7.057,7.380,7.753
8,parametric_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,256,43.898,6.262,6.519,6.879,7.162
9,parametric_row_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,256,102,25.769,4.250,4.352,10.936,11.198
9,parametric_col_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,256,102,16.697,6.559,6.587,16.877,16.948
9,parametric_diag_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,256,32,5.269,6.521,6.523,51.739,51.757
9,parametric_multi_diag_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,256,102,16.830,6.507,6.534,16.744,16.811
9,parametric_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,256,102,18.233,6.007,6.061,15.456,15.597
10,parametric_row_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,256,51,18.026,3.038,3.420,15.262,17.182
10,parametric_col_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,256,51,8.716,6.283,6.314,31.564,31.724
10,parametric_diag_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,256,32,5.269,6.521,6.523,51.745,51.761
10,parametric_multi_diag_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,256,51,8.717,6.282,6.316,31.563,31.732
10,parametric_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,256,51,9.755,5.613,5.709,28.202,28.680
11,parametric_row_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,256,512,82.117,6.695,6.874,4.086,4.196
11,parametric_col_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,256,512,77.587,7.086,7.251,4.325,4.425
11,parametric_diag_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,256,32,5.268,6.522,6.524,51.751,51.768
11,parametric_multi_diag_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,256,512,79.303,6.932,7.092,4.231,4.328
11,parametric_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,256,512,81.020,6.785,6.959,4.142,4.247
