Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
9,parametric_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,2.384,22.969,22.973,115.395,115.417
9,parametric_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,3.453,31.717,31.721,81.610,81.620
9,parametric_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,6.658,41.283,41.291,45.355,45.364
9,parametric_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,12.042,45.653,45.695,27.864,27.890
9,parametric_M8192_N8192_K8192_R256_C256_dppm750000,8192,8192,8192,256,1024,17.380,63.262,63.269,23.168,23.170
12,parametric_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,204,2.917,18.770,18.775,94.301,94.326
12,parametric_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,409,3.455,31.774,31.777,81.566,81.575
12,parametric_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,7.206,38.144,38.157,41.906,41.921
12,parametric_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,8.812,62.388,62.393,38.080,38.082
12,parametric_M8192_N8192_K8192_R128_C128_dppm750000,8192,8192,8192,128,3072,13.111,62.898,62.905,28.154,28.157
