Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
13,parametric_row_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,205,17.389,3.165,3.165,15.824,15.826
13,parametric_col_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,205,1.305,42.156,42.187,210.787,210.940
13,parametric_multi_diag_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,205,1.325,41.522,41.538,207.617,207.695
13,parametric_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,204,2.918,18.769,18.771,94.295,94.306
14,parametric_row_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,410,17.389,6.329,6.331,16.210,16.213
14,parametric_col_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,410,2.116,52.008,52.025,133.198,133.242
14,parametric_multi_diag_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,410,2.131,51.644,51.673,132.267,132.339
14,parametric_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,409,3.457,31.757,31.768,81.521,81.551
15,parametric_row_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,17.390,15.807,15.809,17.366,17.368
15,parametric_col_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,4.527,60.725,60.733,66.715,66.724
15,parametric_multi_diag_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,4.800,57.268,57.285,62.917,62.936
15,parametric_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,7.192,38.219,38.223,41.990,41.994
16,parametric_row_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,17.389,31.614,31.620,19.296,19.300
16,parametric_col_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,8.817,62.353,62.362,38.058,38.063
16,parametric_multi_diag_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,10.423,52.744,52.753,32.193,32.199
16,parametric_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,8.811,62.391,62.398,38.082,38.086
