Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
8,parametric_row_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,17.381,15.815,15.816,17.375,17.376
8,parametric_col_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,4.521,60.796,60.813,66.792,66.812
8,parametric_diag_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,32,0.786,43.695,43.748,346.705,347.119
8,parametric_multi_diag_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,5.065,54.268,54.274,59.621,59.627
8,parametric_M8192_N8192_K8192_R256_C256_d25,8192,8192,8192,256,256,6.660,41.272,41.277,45.343,45.349
9,parametric_row_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,102,17.381,6.301,6.302,16.214,16.216
9,parametric_col_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,102,2.378,46.059,46.068,118.513,118.535
9,parametric_diag_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,32,0.787,43.680,43.705,346.585,346.780
9,parametric_multi_diag_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,102,2.393,45.776,45.785,117.783,117.808
9,parametric_M8192_N8192_K8192_R256_C256_d10,8192,8192,8192,256,102,3.452,31.726,31.730,81.633,81.643
10,parametric_row_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,51,17.381,3.151,3.151,15.829,15.830
10,parametric_col_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,51,1.304,42.000,42.021,211.008,211.117
10,parametric_diag_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,32,0.787,43.664,43.691,346.457,346.667
10,parametric_multi_diag_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,51,1.323,41.391,41.423,207.951,208.112
10,parametric_M8192_N8192_K8192_R256_C256_d5,8192,8192,8192,256,51,2.918,18.763,18.766,94.268,94.282
11,parametric_row_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,512,17.381,31.629,31.633,19.305,19.307
11,parametric_col_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,512,8.810,62.399,62.405,38.086,38.089
11,parametric_diag_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,32,0.787,43.686,43.748,346.633,347.119
11,parametric_multi_diag_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,512,10.418,52.771,52.778,32.209,32.213
11,parametric_M8192_N8192_K8192_R256_C256_d50,8192,8192,8192,256,512,11.495,47.827,47.832,29.191,29.195
