Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
10,parametric_M8192_N8192_K8192_R32_C32_dppm30,8192,8192,8192,32,2,0.243,0.138,0.138,1105.264,1106.547
10,parametric_M8192_N8192_K8192_R32_C32_dppm100,8192,8192,8192,32,7,0.245,0.480,0.482,1097.340,1101.504
10,parametric_M8192_N8192_K8192_R32_C32_dppm300,8192,8192,8192,32,20,0.247,1.361,1.365,1088.833,1092.434
10,parametric_M8192_N8192_K8192_R32_C32_dppm1000,8192,8192,8192,32,66,0.294,3.769,3.779,914.054,916.649
10,parametric_M8192_N8192_K8192_R32_C32_dppm3000,8192,8192,8192,32,197,0.399,8.289,8.301,674.219,675.178
10,parametric_M8192_N8192_K8192_R32_C32_dppm10000,8192,8192,8192,32,655,0.766,14.344,14.348,352.143,352.229
11,parametric_M8192_N8192_K8192_R64_C64_dppm60,8192,8192,8192,64,1,0.676,0.099,0.099,396.929,397.200
11,parametric_M8192_N8192_K8192_R64_C64_dppm200,8192,8192,8192,64,3,0.676,0.298,0.298,397.006,397.224
11,parametric_M8192_N8192_K8192_R64_C64_dppm600,8192,8192,8192,64,10,0.974,0.689,0.689,275.627,275.735
11,parametric_M8192_N8192_K8192_R64_C64_dppm2000,8192,8192,8192,64,33,0.980,2.260,2.262,274.209,274.485
11,parametric_M8192_N8192_K8192_R64_C64_dppm6000,8192,8192,8192,64,98,1.524,4.317,4.319,176.713,176.799
11,parametric_M8192_N8192_K8192_R64_C64_dppm10000,8192,8192,8192,64,164,1.526,7.213,7.218,176.809,176.935
